"","YEAR","MONTH","DATE","SITE","TRANSECT","SP_CODE","AFDM","SCIENTIFIC_NAME","TAXON_CLASS","GROWTH_MORPH","COARSE_GROUPING"
"355",2000,9,"2000-09-08","CARP",2,"OPSP",31.6707403375404,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"359",2000,9,"2000-09-08","CARP",2,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"360",2000,9,"2000-09-08","CARP",2,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"362",2000,9,"2000-09-08","CARP",2,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"366",2000,9,"2000-09-08","CARP",2,"PGL",0,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"367",2000,9,"2000-09-08","CARP",2,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"376",2000,9,"2000-09-08","CARP",2,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"384",2000,9,"2000-09-08","CARP",2,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"385",2000,9,"2000-09-08","CARP",2,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"406",2000,9,"2000-09-08","CARP",2,"SFL",1.6323194604935,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"415",2000,9,"2000-09-08","CARP",2,"SPL",85.3233120877935,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"427",2000,9,"2000-09-08","CARP",2,"TESP",0.452999813958917,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"441",2000,9,"2000-09-08","CARP",3,"AML",0.203252141848264,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"446",2000,9,"2000-09-08","CARP",3,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"447",2000,9,"2000-09-08","CARP",3,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"472",2000,9,"2000-09-08","CARP",3,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"474",2000,9,"2000-09-08","CARP",3,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"483",2000,9,"2000-09-08","CARP",3,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"491",2000,9,"2000-09-08","CARP",3,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"497",2000,9,"2000-09-08","CARP",3,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"500",2000,9,"2000-09-08","CARP",3,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"530",2000,9,"2000-09-08","CARP",3,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"533",2000,9,"2000-09-08","CARP",3,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"544",2000,9,"2000-09-08","CARP",3,"KEKE",0.1367400659163,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"545",2000,9,"2000-09-08","CARP",3,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"548",2000,9,"2000-09-08","CARP",3,"LIGL",6.87612858587293,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"552",2000,9,"2000-09-08","CARP",3,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"558",2000,9,"2000-09-08","CARP",3,"MECR",2.94560497523593,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"559",2000,9,"2000-09-08","CARP",3,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"567",2000,9,"2000-09-08","CARP",3,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"570",2000,9,"2000-09-08","CARP",3,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"572",2000,9,"2000-09-08","CARP",3,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"573",2000,9,"2000-09-08","CARP",3,"OPES",0.0319034056909162,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"574",2000,9,"2000-09-08","CARP",3,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"578",2000,9,"2000-09-08","CARP",3,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"579",2000,9,"2000-09-08","CARP",3,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"581",2000,9,"2000-09-08","CARP",3,"PBL",0.552086203130135,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"585",2000,9,"2000-09-08","CARP",3,"PGL",4.71354067523376,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"586",2000,9,"2000-09-08","CARP",3,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"595",2000,9,"2000-09-08","CARP",3,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"603",2000,9,"2000-09-08","CARP",3,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"604",2000,9,"2000-09-08","CARP",3,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"625",2000,9,"2000-09-08","CARP",3,"SFL",10.9337566100275,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"634",2000,9,"2000-09-08","CARP",3,"SPL",61.6005322389216,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"646",2000,9,"2000-09-08","CARP",3,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"660",2000,9,"2000-09-08","CARP",4,"AML",0.144570517241971,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"665",2000,9,"2000-09-08","CARP",4,"APCA",0.202081618939341,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"666",2000,9,"2000-09-08","CARP",4,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"691",2000,9,"2000-09-08","CARP",4,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"693",2000,9,"2000-09-08","CARP",4,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"702",2000,9,"2000-09-08","CARP",4,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"710",2000,9,"2000-09-08","CARP",4,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"716",2000,9,"2000-09-08","CARP",4,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"719",2000,9,"2000-09-08","CARP",4,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"749",2000,9,"2000-09-08","CARP",4,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"752",2000,9,"2000-09-08","CARP",4,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"763",2000,9,"2000-09-08","CARP",4,"KEKE",0.349540010412699,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"764",2000,9,"2000-09-08","CARP",4,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"767",2000,9,"2000-09-08","CARP",4,"LIGL",33.5189279998387,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"771",2000,9,"2000-09-08","CARP",4,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"777",2000,9,"2000-09-08","CARP",4,"MECR",0.401138399552892,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"778",2000,9,"2000-09-08","CARP",4,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"786",2000,9,"2000-09-08","CARP",4,"NONO",0.365978210253921,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"789",2000,9,"2000-09-08","CARP",4,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"791",2000,9,"2000-09-08","CARP",4,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"792",2000,9,"2000-09-08","CARP",4,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"793",2000,9,"2000-09-08","CARP",4,"OPSP",0.187618194497434,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"797",2000,9,"2000-09-08","CARP",4,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"798",2000,9,"2000-09-08","CARP",4,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"800",2000,9,"2000-09-08","CARP",4,"PBL",0.36026031885169,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"804",2000,9,"2000-09-08","CARP",4,"PGL",0.74609146159818,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"805",2000,9,"2000-09-08","CARP",4,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"814",2000,9,"2000-09-08","CARP",4,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"822",2000,9,"2000-09-08","CARP",4,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"823",2000,9,"2000-09-08","CARP",4,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"844",2000,9,"2000-09-08","CARP",4,"SFL",2.3476615127931,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"853",2000,9,"2000-09-08","CARP",4,"SPL",160.967657701315,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"865",2000,9,"2000-09-08","CARP",4,"TESP",1.41843385801754,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"879",2000,9,"2000-09-08","CARP",5,"AML",0,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"884",2000,9,"2000-09-08","CARP",5,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"885",2000,9,"2000-09-08","CARP",5,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"910",2000,9,"2000-09-08","CARP",5,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"912",2000,9,"2000-09-08","CARP",5,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"921",2000,9,"2000-09-08","CARP",5,"COCA",0.0196681180636362,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"929",2000,9,"2000-09-08","CARP",5,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"935",2000,9,"2000-09-08","CARP",5,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"938",2000,9,"2000-09-08","CARP",5,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"968",2000,9,"2000-09-08","CARP",5,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"971",2000,9,"2000-09-08","CARP",5,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"982",2000,9,"2000-09-08","CARP",5,"KEKE",0.673506486834513,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"983",2000,9,"2000-09-08","CARP",5,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"986",2000,9,"2000-09-08","CARP",5,"LIGL",59.198509643768,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"990",2000,9,"2000-09-08","CARP",5,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"996",2000,9,"2000-09-08","CARP",5,"MECR",10.521645162832,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"997",2000,9,"2000-09-08","CARP",5,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"1005",2000,9,"2000-09-08","CARP",5,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"1008",2000,9,"2000-09-08","CARP",5,"OCTO",0.126796750185833,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"1010",2000,9,"2000-09-08","CARP",5,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"1011",2000,9,"2000-09-08","CARP",5,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"1012",2000,9,"2000-09-08","CARP",5,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"1016",2000,9,"2000-09-08","CARP",5,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"1017",2000,9,"2000-09-08","CARP",5,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"1019",2000,9,"2000-09-08","CARP",5,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"1023",2000,9,"2000-09-08","CARP",5,"PGL",0,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"1024",2000,9,"2000-09-08","CARP",5,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"1033",2000,9,"2000-09-08","CARP",5,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"1041",2000,9,"2000-09-08","CARP",5,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"1042",2000,9,"2000-09-08","CARP",5,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"1063",2000,9,"2000-09-08","CARP",5,"SFL",4.16048336523024,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"1072",2000,9,"2000-09-08","CARP",5,"SPL",81.0546396991891,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"1084",2000,9,"2000-09-08","CARP",5,"TESP",6.9715749602488,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"1098",2000,9,"2000-09-08","CARP",6,"AML",0,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"1103",2000,9,"2000-09-08","CARP",6,"APCA",0.310726085897287,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"1104",2000,9,"2000-09-08","CARP",6,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"1129",2000,9,"2000-09-08","CARP",6,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"1131",2000,9,"2000-09-08","CARP",6,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"1140",2000,9,"2000-09-08","CARP",6,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"1148",2000,9,"2000-09-08","CARP",6,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"1154",2000,9,"2000-09-08","CARP",6,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"1157",2000,9,"2000-09-08","CARP",6,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"1187",2000,9,"2000-09-08","CARP",6,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"1190",2000,9,"2000-09-08","CARP",6,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"1201",2000,9,"2000-09-08","CARP",6,"KEKE",0.546373870931805,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"1202",2000,9,"2000-09-08","CARP",6,"LA",0.0485478031659625,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"1205",2000,9,"2000-09-08","CARP",6,"LIGL",1.5482718124379,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"1209",2000,9,"2000-09-08","CARP",6,"LOGR",1.96459807801669,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"1215",2000,9,"2000-09-08","CARP",6,"MECR",2.07707227884893,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"1216",2000,9,"2000-09-08","CARP",6,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"1224",2000,9,"2000-09-08","CARP",6,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"1227",2000,9,"2000-09-08","CARP",6,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"1229",2000,9,"2000-09-08","CARP",6,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"1230",2000,9,"2000-09-08","CARP",6,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"1231",2000,9,"2000-09-08","CARP",6,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"1235",2000,9,"2000-09-08","CARP",6,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"1236",2000,9,"2000-09-08","CARP",6,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"1238",2000,9,"2000-09-08","CARP",6,"PBL",1.56178823746268,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"1242",2000,9,"2000-09-08","CARP",6,"PGL",2.64967956260555,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"1243",2000,9,"2000-09-08","CARP",6,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"1252",2000,9,"2000-09-08","CARP",6,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"1260",2000,9,"2000-09-08","CARP",6,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"1261",2000,9,"2000-09-08","CARP",6,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"1282",2000,9,"2000-09-08","CARP",6,"SFL",9.70127189878149,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"1291",2000,9,"2000-09-08","CARP",6,"SPL",111.084347520612,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"1303",2000,9,"2000-09-08","CARP",6,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"1317",2000,9,"2000-09-08","CARP",7,"AML",0.167235331286853,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"1322",2000,9,"2000-09-08","CARP",7,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"1323",2000,9,"2000-09-08","CARP",7,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"1348",2000,9,"2000-09-08","CARP",7,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"1350",2000,9,"2000-09-08","CARP",7,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
