"","site","wave_yr","Mean_Hs_m","Max_Hs_m"
"132","GOLB",2005,0.488571428571429,2.78
"133","GOLB",2006,0.429450549450549,1.22
"134","GOLB",2007,0.492896174863388,3.63
"135","GOLB",2008,0.385714285714286,1.14
"136","GOLB",2009,0.53478021978022,1.88
"137","GOLB",2010,0.427362637362637,1.36
"138","GOLB",2011,0.436010928961749,1.12
"139","GOLB",2012,0.424505494505495,1.02
"140","GOLB",2013,0.40489010989011,2.33
"141","GOLB",2014,0.418021978021978,1.9
"142","GOLB",2015,0.567814207650273,2.07
"143","GOLB",2016,0.431428571428571,1.85
"144","GOLB",2017,0.332527472527473,1.16
"145","GOLB",2018,0.409065934065934,1.26
"146","GOLB",2019,0.224153005464481,0.72
"147","GOLB",2020,0.260989010989011,1.04
"148","GOLB",2021,0.248791208791209,0.84
"149","GOLB",2022,0.268516483516483,1.93
"150","GOLB",2023,0.40327868852459,2.26
"151","IVEE",1999,0.351978021978022,2.01
"152","IVEE",2000,0.307912087912088,1.11
"153","IVEE",2001,0.272417582417582,1.62
"154","IVEE",2002,0.653186813186813,1.7
"155","IVEE",2003,0.598087431693989,1.56
"156","IVEE",2004,0.587307692307692,1.95
"157","IVEE",2005,0.662087912087912,2.94
"158","IVEE",2006,0.599450549450549,1.5
"159","IVEE",2007,0.668469945355191,3.92
"160","IVEE",2008,0.544340659340659,1.28
"161","IVEE",2009,0.72010989010989,2.24
"162","IVEE",2010,0.590824175824176,1.49
"163","IVEE",2011,0.615300546448087,1.61
"164","IVEE",2012,0.58967032967033,1.28
"165","IVEE",2013,0.557527472527472,2.53
"166","IVEE",2014,0.565054945054945,2.21
"167","IVEE",2015,0.756666666666667,2.11
"168","IVEE",2016,0.570274725274725,2.1
"169","IVEE",2017,0.44456043956044,1.38
"170","IVEE",2018,0.517747252747253,1.55
"171","IVEE",2019,0.236830601092896,0.74
"172","IVEE",2020,0.276923076923077,1.39
"173","IVEE",2021,0.263131868131868,0.9
"174","IVEE",2022,0.285989010989011,2.1
"175","IVEE",2023,0.475792349726776,2.28
"176","MOHK",1999,0.315274725274725,1.83
"177","MOHK",2000,0.277802197802198,0.97
"178","MOHK",2001,0.249285714285714,1.41
"179","MOHK",2002,0.705054945054945,1.74
"180","MOHK",2003,0.650491803278688,1.62
"181","MOHK",2004,0.628516483516483,2.16
"182","MOHK",2005,0.715714285714286,2.5
"183","MOHK",2006,0.652142857142857,1.62
"184","MOHK",2007,0.717377049180328,3.17
"185","MOHK",2008,0.594395604395604,1.41
"186","MOHK",2009,0.788241758241758,2.45
"187","MOHK",2010,0.644450549450549,1.61
"188","MOHK",2011,0.676994535519126,1.88
"189","MOHK",2012,0.64,1.55
"190","MOHK",2013,0.603131868131868,2.51
"191","MOHK",2014,0.616208791208791,2.19
"192","MOHK",2015,0.813497267759563,1.89
"193","MOHK",2016,0.606648351648352,2.06
"194","MOHK",2017,0.473626373626374,1.56
"195","MOHK",2018,0.541428571428571,1.67
"196","MOHK",2019,0.589289617486339,1.43
"197","MOHK",2020,0.618571428571429,1.97
"198","MOHK",2021,0.615494505494505,1.71
"199","MOHK",2022,0.691428571428571,2.6
"200","MOHK",2023,0.690382513661202,2.11
"201","NAPL",1999,0.472417582417582,2.29
"202","NAPL",2000,0.416813186813187,1.43
"203","NAPL",2001,0.371263736263736,1.84
"204","NAPL",2002,0.817472527472528,2.13
"205","NAPL",2003,0.753825136612022,1.99
"206","NAPL",2004,0.731703296703297,2.43
"207","NAPL",2005,0.827472527472527,3.15
"208","NAPL",2006,0.751318681318681,1.9
"209","NAPL",2007,0.829180327868852,4.47
"210","NAPL",2008,0.679285714285714,1.57
"211","NAPL",2009,0.905824175824176,2.72
"212","NAPL",2010,0.738516483516483,1.88
"213","NAPL",2011,0.774754098360656,2.02
"214","NAPL",2012,0.738021978021978,1.62
"215","NAPL",2013,0.694120879120879,2.95
"216","NAPL",2014,0.716373626373626,2.66
"217","NAPL",2015,0.907431693989071,2.27
"218","NAPL",2016,0.778736263736264,2.86
"219","NAPL",2017,0.552967032967033,1.69
"220","NAPL",2018,0.648626373626374,1.94
"221","NAPL",2019,0.326885245901639,0.95
"222","NAPL",2020,0.377472527472527,1.76
"223","NAPL",2021,0.360824175824176,1.16
"224","NAPL",2022,0.389945054945055,2.45
"225","NAPL",2023,0.608907103825137,2.45
